vehicle_id,source_lat,source_lng,target_lat,target_lng
2,30.35364379,-9.54266843,30.35349068,-9.54223363
2,30.35349068,-9.54223363,30.35335333,-9.54205677
2,30.35335333,-9.54205677,30.35213441,-9.54096812
2,30.35213441,-9.54096812,30.35213441,-9.54096812
2,30.35213441,-9.54096812,30.35213441,-9.54096812
2,30.35213441,-9.54096812,30.35213441,-9.54096812
2,30.35213441,-9.54096812,30.35213441,-9.54096812
2,30.35213441,-9.54096812,30.35231467,-9.5397686
2,30.35231467,-9.5397686,30.34669471,-9.52768198
2,30.34669471,-9.52768198,30.33553389,-9.51874671
2,30.33553389,-9.51874671,30.32958209,-9.52499957
2,30.32958209,-9.52499957,30.32818412,-9.52525942
2,30.32818412,-9.52525942,30.32115435,-9.52612991
2,30.32115435,-9.52612991,30.31642928,-9.51257071
2,30.31642928,-9.51257071,30.32050404,-9.51074581
2,30.32050404,-9.51074581,30.32074356,-9.51068925
2,30.32074356,-9.51068925,30.32260146,-9.51158066
2,30.32260146,-9.51158066,30.32041014,-9.51073124
2,30.32041014,-9.51073124,30.31760528,-9.50944379
2,30.31760528,-9.50944379,30.31823596,-9.50832559
2,30.31823596,-9.50832559,30.31804177,-9.50485551
2,30.31804177,-9.50485551,30.31360166,-9.50219846
2,30.31360166,-9.50219846,30.31263591,-9.50072138
2,30.31263591,-9.50072138,30.31263727,-9.50072031
2,30.31263727,-9.50072031,30.31360299,-9.50219794
2,30.31360299,-9.50219794,30.31451051,-9.50199444
2,30.31451051,-9.50199444,30.31557843,-9.49846573
2,30.31557843,-9.49846573,30.31967077,-9.50513109
2,30.31967077,-9.50513109,30.32087331,-9.50572693
2,30.32087331,-9.50572693,30.32503487,-9.5063148
2,30.32503487,-9.5063148,30.322769,-9.5020185
2,30.322769,-9.5020185,30.32278072,-9.50087548
2,30.32278072,-9.50087548,30.32432634,-9.49985478
2,30.32432634,-9.49985478,30.32350258,-9.4981683
2,30.32350258,-9.4981683,30.32286523,-9.49809318
